Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
373,01-04-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,13.38,21.55,210.33,NA
373,01-07-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12.22,22.9,81.67,NA
373,14-01-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,15.58,21.68,74.5,NA
373,18-01-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12.98,22.45,123.67,NA
373,21-01-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,13.83,22.75,93.33,NA
373,25-01-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,13.75,22.78,220.33,NA
373,28-01-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,13.72,21.03,404.67,NA
373,02-04-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11.28,21.88,111.33,NA
373,02-08-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11.75,23.45,234.67,NA
373,02-11-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,13.5,20.95,162,NA
373,15-02-2012,Rajasthan,Alwar,"Gaurav Solvex Ltd. MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,13.32,24.07,190.67,NA
